Ensembl_ID,Combined_score_prob
ENSMUSG00000007097,0.036619737479053616
ENSMUSG00000026473,0.018772378244192204
ENSMUSG00000046240,0.014333573288684554
ENSMUSG00000028565,0.013070319264486279
ENSMUSG00000105265,0.009054359190803373
ENSMUSG00000046160,0.008529713323291792
ENSMUSG00000064373,0.008495813519025295
ENSMUSG00000051951,0.007935209988316254
ENSMUSG00000040260,0.007718455086782517
ENSMUSG00000031925,0.006754094729159943
ENSMUSG00000026421,0.006653484999240257
ENSMUSG00000031765,0.005909221234297015
ENSMUSG00000005360,0.005785178710219138
ENSMUSG00000002985,0.0054699367175523065
ENSMUSG00000014361,0.005372899253772934
ENSMUSG00000058325,0.005305854231439098
ENSMUSG00000044708,0.005280336444178769
ENSMUSG00000045092,0.004452586807546892
ENSMUSG00000018593,0.0043571996754960375
ENSMUSG00000056966,0.004321594584480302
ENSMUSG00000026872,0.00415064100764004
ENSMUSG00000025902,0.004041191723604067
ENSMUSG00000027199,0.003909026231986911
ENSMUSG00000037242,0.003603951950622846
ENSMUSG00000104238,0.003475958176831799
ENSMUSG00000027447,0.003441033444922536
ENSMUSG00000027562,0.0032354721982871134
ENSMUSG00000021127,0.0031221771629713017
ENSMUSG00000029723,0.0029462509278046947
ENSMUSG00000002459,0.0028639173019978275
ENSMUSG00000074457,0.0028461274654614324
ENSMUSG00000033740,0.0028323673190149682
ENSMUSG00000028517,0.0027509404130454866
ENSMUSG00000032060,0.0026003481003673045
ENSMUSG00000031425,0.0025084746778265307
ENSMUSG00000013523,0.0024912488731053915
ENSMUSG00000020044,0.0023897626958975715
ENSMUSG00000040624,0.00226975640999378
ENSMUSG00000056515,0.0021826095284600802
ENSMUSG00000026424,0.0021693255190813124
ENSMUSG00000025909,0.0020556707537314096
ENSMUSG00000024140,0.0019941761464913415
ENSMUSG00000034714,0.0019343014838643447
ENSMUSG00000031714,0.0019288207335121151
ENSMUSG00000033006,0.0019136945531042788
ENSMUSG00000062078,0.0017986212227522238
ENSMUSG00000032554,0.0017980994520074597
ENSMUSG00000102331,0.001797440805752366
ENSMUSG00000022708,0.0017581192189542955
ENSMUSG00000068523,0.0017079507590896225
ENSMUSG00000038608,0.0016739110014811955
ENSMUSG00000020023,0.0016430517378735578
ENSMUSG00000015305,0.0016358126312242278
ENSMUSG00000050840,0.0016132036799521262
ENSMUSG00000031775,0.0015714903106363288
ENSMUSG00000008575,0.0015661570559350752
ENSMUSG00000005089,0.0014999607752032836
ENSMUSG00000060961,0.0014825999430079992
ENSMUSG00000008734,0.001466213004522248
ENSMUSG00000032854,0.0014512315415232872
ENSMUSG00000050953,0.0014081200403170534
ENSMUSG00000026385,0.0013990636545114154
ENSMUSG00000048960,0.0013384343447942965
ENSMUSG00000027375,0.001328580864714479
ENSMUSG00000005125,0.0013224137347236887
